Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
4075.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.92375299
4075.0,Put,26.0,5.0,-189459.66761791724,966.1602783807803,297030.02697454434,131209.76153715217,0.3108496
4100.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.88257482
4100.0,Put,20.0,5.0,-183179.6692450988,885.3083038126199,287465.7354029266,115745.52075847985,0.2992651
4125.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.84085796
4125.0,Put,161.0,1.0,-1881819.2785309507,8504.780546771226,2994569.048355421,1075405.3682495803,0.2894499
4150.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.79264651
4150.0,Put,217.0,2.0,-3218386.6551458687,13514.043864072974,5187939.666511088,1646070.462056843,0.27883626
4175.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.73329143
4175.0,Put,77.0,4.0,-1457155.4706078991,5586.056628636447,2412323.8960827277,658244.6581263032,0.26977312
4200.0,Call,3.0,0.0,-55778.04128860379,66.71453360793097,-918802.2082606877,20430.372109382555,0.69641918
4200.0,Put,143.0,4.0,-3404958.8226312473,11855.185933392804,5727856.988616883,1336277.1511837286,0.25807254
4225.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.65989397
4225.0,Put,47.0,76.0,-1414643.9453148544,4298.732510538746,2508367.9567796905,471544.2212859812,0.25118693
4250.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.6570175
4250.0,Put,107.0,17.0,-3997387.853758734,10466.61639838375,7348504.548185662,1098049.5551186875,0.24027704
4275.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.62361897
4275.0,Put,71.0,30.0,-3251305.3520355434,7003.624016786135,6291856.832204125,703435.9419790766,0.23010827
4300.0,Call,2.0,2.0,-48415.042379849714,25.73909668258741,-528980.4221385315,6745.600873646636,0.5932469
4300.0,Put,316.0,55.0,-17414986.564650748,28768.69865949136,35917070.113926314,2757629.534435875,0.2197296
4325.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.56553163
4325.0,Put,134.0,8.0,-8717316.565694202,9699.462840146934,19314794.332369495,877896.5195303702,0.20773098
4350.0,Call,4.0,0.0,-109740.87359941262,12.279010657253457,-946437.2976344205,3025.2620362170824,0.53960485
4350.0,Put,791.0,24.0,-59886692.58630799,31259.252784170087,143000261.09665343,2603667.8319114633,0.19202639
4375.0,Call,4.0,0.0,-115092.70179313624,-14.919914510054898,-881904.0032943574,-3252.2443482496174,0.51731555
4375.0,Put,66.0,26.0,-5656941.877835957,-972.7923582409165,14916452.522491772,-75806.67683372009,0.17350781
4400.0,Call,220.0,5.0,-6546787.780306287,-2554.238938108669,-44695271.52354939,-550134.5056004017,0.49832511
4400.0,Put,46.0,71.0,-4334103.024209317,-4698.149048893928,13074904.436002944,-302702.8927945184,0.14655854
4425.0,Call,22.0,1.0,-668340.2050732813,-446.63221688485413,-4067843.508945373,-93316.36950798136,0.48094139
4425.0,Put,57.0,16.0,-4827325.431654539,-14138.834807631632,21418316.811209254,-607658.2899752192,0.0978684
4450.0,Call,98.0,1.0,-2985343.5874616913,-2867.583509059423,-16286779.270913536,-582491.4500116891,0.46658678
4450.0,Put,97.0,14.0,0.0,0.0,0.0,0.0,0.17706338
4475.0,Call,75.0,36.0,-2248356.6676194347,-2840.1924572691373,-11064843.02599839,-563162.8756454783,0.45493804
4475.0,Put,219.0,43.0,0.0,0.0,0.0,0.0,0.17706338
4500.0,Call,268.0,120.0,-7764979.774784315,-12226.333465368793,-34648652.58873317,-2373306.3954412537,0.44506551
4500.0,Put,312.0,10.0,0.0,0.0,0.0,0.0,0.17706338
4525.0,Call,291.0,316.0,-7986989.917816609,-15066.064715578841,-32643618.76001177,-2880751.594677868,0.43820597
4525.0,Put,89.0,22.0,0.0,0.0,0.0,0.0,0.17706338
4550.0,Call,133.0,185.0,-3401654.3454517857,-7495.156210296642,-12778977.176282143,-1413222.0249907433,0.43198237
4550.0,Put,84.0,0.0,0.0,0.0,0.0,0.0,0.17706338
4575.0,Call,36.0,9.0,-843208.0078759706,-2120.9884423224044,-2939521.7912181937,-396350.4967932403,0.42803649
4575.0,Put,4.0,0.0,0.0,0.0,0.0,0.0,0.17706338
4600.0,Call,205.0,94.0,-4331494.220866952,-12244.414437110732,-14079023.469497066,-2271401.6414040537,0.42483785
4600.0,Put,364.0,0.0,0.0,0.0,0.0,0.0,0.17706338
4625.0,Call,248.0,222.0,-4663172.684735378,-14592.140550273387,-14252847.962994155,-2697800.2173019103,0.42335399
4625.0,Put,117.0,13.0,0.0,0.0,0.0,0.0,0.17706338
4650.0,Call,317.0,368.0,-5240244.286391174,-17959.625652035455,-15131760.572961051,-3314010.9409525073,0.42250018
4650.0,Put,21.0,0.0,0.0,0.0,0.0,0.0,0.17706338
4675.0,Call,339.0,373.0,-4884648.293210332,-18120.3289162936,-13449068.34868695,-3351395.893049278,0.42344501
4675.0,Put,7.0,0.0,0.0,0.0,0.0,0.0,0.17706338
