Strike,Type,OI,Volume,GEX,Vanna,DEX,Charm,IV
27500.0,Call,246.0,0.0,-4055834.799857792,3415.3818340888893,-134025322.19764045,1219461.434226167,0.28547642
27500.0,Put,1025.0,92.0,-14955296.368663982,14023.63517736875,34826197.66432071,4439794.732569659,0.25727547
27550.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.28116302
27550.0,Put,8.0,6.0,-122030.38200973815,112.93092827380627,283200.7857373842,35317.175390215634,0.25414382
27600.0,Call,14.0,0.0,-249044.74747625776,204.54262265033697,-7584292.574630999,71096.44028371415,0.27803564
27600.0,Put,394.0,13.0,-6306788.948621684,5741.890720356342,14651011.029567253,1778155.8977395813,0.25167177
27650.0,Call,3.0,0.0,-55350.0348437004,44.98569256240724,-1621193.2907842887,15384.1720416452,0.27359891
27650.0,Put,96.0,32.0,-1608767.9589978766,1443.16942676979,3729092.1011932846,441614.1482129373,0.24868948
27700.0,Call,1.0,0.0,-19209.234769025785,15.376268949389031,-538482.2206297825,5193.533611228253,0.27028944
27700.0,Put,614.0,12.0,-10787556.522733586,9520.38945333645,24993638.691899985,2881030.8399700006,0.24594539
27750.0,Call,59.0,0.0,-1180012.3151730883,930.1210323143573,-31654628.990713153,310122.0363149778,0.26687477
27750.0,Put,125.0,11.0,-2305060.2652594782,1998.4012626906585,5346346.673325552,598486.5261126109,0.24340668
27800.0,Call,83.0,0.0,-1728514.2228935088,1341.3821537708309,-44363930.009760156,441256.2711246239,0.26335715
27800.0,Put,155.0,1.0,-2998449.594691001,2553.6622969932605,6956359.852364134,756295.0242138857,0.24071565
27850.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.26081488
27850.0,Put,12.0,14.0,-243723.336409204,203.6170069976469,566341.7294036843,59669.232697842715,0.23819376
27900.0,Call,66.0,0.0,-1494324.75795257,1118.4695565923837,-34965758.386548445,358986.36285668594,0.25706907
27900.0,Put,147.0,6.0,-3133024.65574964,2567.522341299212,7285507.647646315,743894.8362735736,0.23550995
27950.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.25322632
27950.0,Put,44.0,8.0,-984666.2992664195,790.4406591703731,2294079.6264496627,226529.655158205,0.23296332
28000.0,Call,236.0,1.0,-5809499.0061079245,4189.819038274949,-123857469.627195,1308745.018684359,0.25027783
28000.0,Put,2469.0,177.0,-57989313.34599757,45595.068907254325,135235677.56950796,12913988.835904801,0.23024742
28050.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.24621943
28050.0,Put,22.0,15.0,-542532.9494301346,417.2368683159125,1267751.4715051695,116830.83191249252,0.22764052
28100.0,Call,73.0,2.0,-1957411.829669068,1353.0242115218193,-37891416.25775667,411777.1963511021,0.24393671
28100.0,Put,215.0,17.0,-5568408.490106467,4182.925578790096,13049348.303488,1158228.6334377956,0.22511976
28150.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.24055157
28150.0,Put,31.0,10.0,-843320.810550184,617.9378123686862,1983502.0090377834,169226.388606915,0.22266387
28200.0,Call,74.0,2.0,-2163642.733864424,1425.6970063393073,-37923754.966453,423024.4253393458,0.23790383
28200.0,Put,181.0,57.0,-5171831.681500095,3691.5535596896666,12216577.048443079,999943.4696454509,0.22025318
28250.0,Call,102.0,1.0,-3113425.6844891813,2005.455752367263,-51949759.17064886,585752.3274649106,0.23421893
28250.0,Put,294.0,20.0,-8822685.104869459,6126.0728052677605,20941571.77562223,1641310.1831045991,0.21786958
28300.0,Call,36.0,0.0,-1147921.9050396325,719.6724249244731,-18199737.141751956,207488.0104185692,0.23122664
28300.0,Put,94.0,15.0,-2961237.3254984673,1999.5412750779915,7054755.370029066,529293.619684602,0.21527232
28350.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.22885475
28350.0,Put,11.0,6.0,-363809.1159832706,238.28601015571508,871694.0588232158,62376.243051060366,0.21290259
28400.0,Call,24.0,0.0,-835200.2725289345,493.29614392639735,-11933687.555653982,138658.92945945627,0.22548579
28400.0,Put,136.0,109.0,-4720946.672678989,2994.7963668727116,11379565.600345656,775077.3779235616,0.21051354
28450.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.2226988
28450.0,Put,29.0,40.0,-1056273.0898658447,647.2965142299653,2565710.531724305,165740.1369194692,0.20829272
28500.0,Call,464.0,2.0,-17608133.79068794,9698.839810294894,-226227788.1434131,2664644.245382466,0.22042895
28500.0,Put,1047.0,342.0,-39995697.906674966,23638.185225914425,97905185.611,5985598.084479064,0.20601324
28550.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.21790961
28550.0,Put,65.0,14.0,-2603010.2946534012,1481.073595785621,6421469.895106303,370709.77760839276,0.203665
28600.0,Call,315.0,9.0,-13020714.362283804,6638.791386906761,-150242892.33770964,1780116.6314351172,0.21514868
28600.0,Put,182.0,34.0,-7636272.624347497,4170.922552318847,19009381.860749,1032304.1407089734,0.20141851
28650.0,Call,2.0,0.0,-86192.59203305627,42.057802096855006,-942081.0042578635,11155.144914522556,0.21281623
28650.0,Put,13.0,4.0,-571078.2950605542,298.52788228414437,1436156.5814552149,73076.54669011277,0.19924637
28700.0,Call,65.0,0.0,-2920249.8744844263,1361.4893347596183,-30223787.73652085,356713.4762346478,0.21021552
28700.0,Put,187.0,0.0,-8596099.385066094,4290.622732957091,21833209.609040007,1038028.8027614016,0.19695558
28750.0,Call,88.0,0.0,-4121705.372406379,1832.4529230983992,-40371202.53679615,473603.9425312285,0.20735334
28750.0,Put,209.0,13.0,-10042429.179215288,4765.258953573937,25816198.395300113,1140368.0696589414,0.19486461
28800.0,Call,74.0,2.0,-3603333.4933841033,1514.5012457708447,-33420243.870182764,387889.0741690794,0.20545243
28800.0,Put,255.0,39.0,-12800148.137607053,5757.22144002014,33290777.86067164,1361556.0098215707,0.19262136
28850.0,Call,2.0,0.0,-101228.14758358744,40.11406924405814,-888684.2143593249,10164.718640964165,0.20323365
28850.0,Put,219.0,2.0,-11469537.63986866,4864.97572279152,30234954.79078339,1137697.4410849675,0.19052587
28900.0,Call,25.0,4.0,-1315251.6551143143,489.75638352096576,-10922199.518551363,122586.53057153286,0.20070541
28900.0,Put,101.0,24.0,-5511051.537578991,2192.17399143099,14749134.303053252,507148.2797905908,0.18854559
28950.0,Call,3.0,0.0,-163775.7076640049,56.89841526282044,-1286752.1508930696,14085.052952254136,0.19843521
28950.0,Put,53.0,3.0,-3009840.7281949907,1116.663332967184,8181376.394361291,255439.00413304614,0.18650734
29000.0,Call,770.0,5.0,-43580713.41198085,14034.290373300573,-323863445.51858556,3434878.237731042,0.19611224
29000.0,Put,783.0,321.0,-46207902.205141455,15875.152923241147,127747599.212474,3591351.3592337323,0.18453584
29050.0,Call,57.0,2.0,-3341750.742285808,989.8049719330505,-23480337.34770233,239426.74503868647,0.19372194
29050.0,Put,40.0,13.0,-2449097.5479580015,772.6858191320164,6895114.843832362,172870.64343030172,0.18260575
29100.0,Call,63.0,0.0,-3810231.9070390817,1023.7829357487497,-25359529.672558796,245666.53634710936,0.19203603
29100.0,Put,140.0,26.0,-8878739.051288743,2546.952434257917,25484900.882771403,563445.7745541027,0.18069392
29150.0,Call,26.0,4.0,-1625859.0248175801,393.45264681813114,-10222486.491500245,93225.88910260005,0.18945268
29150.0,Put,79.0,56.0,-5180844.361624934,1334.9338427409052,15177029.164199423,291920.2999453102,0.17877892
29200.0,Call,257.0,27.0,-16545064.420172535,3537.321098160998,-98463045.18102036,830604.9442250303,0.18751645
29200.0,Put,143.0,10.0,-9675196.346446857,2203.5378675361703,28981326.63796393,476410.1456169734,0.1769678
29250.0,Call,222.0,10.0,-14671969.847665738,2711.645897430062,-82722030.87640186,631993.7914171794,0.18580264
29250.0,Put,241.0,28.0,-16782614.69035744,3309.1096013796773,51493299.34441536,707279.711557204,0.1752345
29300.0,Call,161.0,16.0,-10898231.972583342,1692.2777647816288,-58241401.898302816,391898.2409484867,0.18416145
29300.0,Put,61.0,41.0,-4364319.317349325,724.9810395441173,13727455.457795465,153011.39969065078,0.17343297
29350.0,Call,7.0,6.0,-485388.05052780686,60.96739038045598,-2454572.0051193023,14012.22293490258,0.18209186
29350.0,Put,24.0,4.0,-1758694.136701265,236.2254959451891,5684636.810975263,49212.309004002156,0.17178885
29400.0,Call,222.0,21.0,-15702475.766236864,1492.401279925804,-75282600.6548625,342019.920929727,0.18042596
29400.0,Put,128.0,14.0,-9582645.996489821,976.9871993527853,31878146.1668426,200424.5873860235,0.17015811
29450.0,Call,51.0,14.0,-3673142.0670381426,235.11166725544754,-16691079.733679218,54032.6919361013,0.17866288
29450.0,Put,13.0,19.0,-991747.9494391469,68.4516169254023,3400543.3465260775,13744.789325388674,0.1685229
29500.0,Call,300.0,254.0,-21903501.725213997,707.5508752705609,-94535145.78965895,167453.12899451514,0.17725938
29500.0,Put,425.0,39.0,-32929982.621283572,1167.9811454803014,116638153.19452271,224282.04743731057,0.16698409
29550.0,Call,77.0,2.0,-5688373.134931371,0.9105921183951662,-23310293.66660284,3390.3134510770265,0.17572845
29550.0,Put,19.0,23.0,-1490147.699468264,1.9961844336934487,5464124.3649347015,-341.4733882104104,0.16552466
29600.0,Call,504.0,76.0,-37550438.50454175,-1219.887320725834,-146227906.41389874,-241889.53716684857,0.17429298
29600.0,Put,147.0,15.0,-11637790.802929115,-388.048756205174,44242150.206746645,-84464.01995726823,0.16401311
29650.0,Call,203.0,6.0,-15223090.721688319,-999.5697203109826,-56300865.08164367,-204951.62523517877,0.17270731
29650.0,Put,81.0,3.0,-6445641.790339498,-441.92536531442113,25476701.784986325,-92048.5813490519,0.16267155
29700.0,Call,94.0,31.0,-7066121.2847233545,-701.7113858641937,-24856912.036257464,-144683.1436184514,0.17131351
29700.0,Put,90.0,3.0,-7177631.34264559,-748.9669219751794,29541789.15758193,-152827.47616434706,0.16125512
29750.0,Call,335.0,33.0,-25137952.624222565,-3351.44925933234,-84248130.24707726,-690762.5078565353,0.17010684
29750.0,Put,535.0,6.0,-42570899.73592027,-5985.071382883166,182975443.71040243,-1204674.058306654,0.15999205
29800.0,Call,225.0,47.0,-16793479.137072198,-2816.429920633652,-53670745.62170124,-578881.6241637011,0.16896688
29800.0,Put,58.0,3.0,-4587033.449894587,-813.3745722519102,20636110.656957574,-161901.99970992905,0.15876011
29850.0,Call,206.0,33.0,-15247056.90222514,-3088.5930590771154,-46470767.764070645,-631967.8441919591,0.16777095
29850.0,Put,1.0,1.0,-78292.10210647345,-16.795939180284957,369539.4166818996,-3310.5822690614114,0.15755701
29900.0,Call,183.0,53.0,-13354912.325164277,-3169.0901864237994,-38964489.18216282,-646678.2768187698,0.16701415
29900.0,Put,39.0,1.0,-3010262.3203423875,-759.2090674866611,14944172.783522308,-148305.8419172668,0.15638316
29950.0,Call,51.0,11.0,-3662663.60775599,-998.9495318356308,-10212547.512019625,-202831.17118869003,0.16596098
29950.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1553713
30000.0,Call,1164.0,249.0,-82036537.57197516,-25340.818505289833,-218388605.46023244,-5112319.646749518,0.16472558
30000.0,Put,547.0,121.0,-40480903.79705447,-13302.926201310489,224174443.3494724,-2558899.1783853113,0.15427383
30050.0,Call,50.0,23.0,-3437757.245705828,-1184.5928292326587,-8775814.269065011,-238079.36005746317,0.16397202
30050.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15336599
30100.0,Call,407.0,39.0,-27202112.289958544,-10352.775217534592,-66617763.2335963,-2072209.8197475728,0.16319806
30100.0,Put,13.0,1.0,-905250.4063007885,-367.4945197939443,5656387.403124787,-69830.24862741753,0.15253745
30150.0,Call,54.0,52.0,-3496239.0978630465,-1458.2056107434446,-8213074.164363438,-290497.2627983672,0.16234231
30150.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.15166472
30200.0,Call,355.0,87.0,-22144390.053240754,-10019.978786597172,-50158135.38901708,-1992925.6261113111,0.16201257
30200.0,Put,33.0,0.0,-2133958.2504443447,-1046.47483505398,15197488.77173205,-194203.34891648294,0.14903109
30250.0,Call,299.0,43.0,-17921865.880394585,-8762.649331025948,-39052480.06652059,-1736392.137200519,0.16135336
30250.0,Put,28.0,0.0,-1727543.098218518,-919.0751311841518,13219080.291002013,-169208.66074024045,0.14785244
30300.0,Call,594.0,151.0,-34086627.2063887,-17928.50466959543,-71426146.9707547,-3536921.1192880655,0.16058713
30300.0,Put,10.0,1.0,-585878.7249614265,-338.0832165693695,4839334.094188755,-61443.278357919655,0.14593831
30350.0,Call,13.0,38.0,-711105.7166020497,-399.96573655296095,-1436977.9973257142,-78670.74463741502,0.16006835
30350.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.14468455
30400.0,Call,156.0,26.0,-8103274.5674545,-4856.3655574802315,-15792943.70636785,-952034.700835505,0.1594986
30400.0,Put,5.0,2.0,-259037.81814726218,-171.16422536914183,2519047.8774055457,-30765.923036402306,0.14427398
30450.0,Call,8.0,9.0,-393075.322358198,-249.8894835392507,-740455.173895975,-48873.09148153146,0.15909331
30450.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.143189
30500.0,Call,1526.0,324.0,-70643693.83370394,-47546.23542682096,-128463591.48955956,-9266155.68850977,0.15850288
30500.0,Put,264.0,1.0,-11782198.395703882,-8871.533189783468,137979081.9881889,-1563115.2437198607,0.14129881
30550.0,Call,51.0,5.0,-2216895.0777741107,-1571.7271684030247,-3907924.778312183,-305920.9825304082,0.1582782
30550.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.13947324
30600.0,Call,215.0,49.0,-8747690.077529239,-6511.518402119787,-14976360.49528994,-1266787.4368396853,0.15818086
30600.0,Put,2.0,1.0,-74331.51820748481,-63.331228301265895,1078845.1947614343,-10898.752002014891,0.13780317
30650.0,Call,20.0,20.0,-758279.5206430808,-592.4110058576347,-1257579.7472668113,-114966.65610034399,0.15777157
30650.0,Put,0.0,0.0,0.0,0.0,0.0,0.0,0.1364273
30700.0,Call,427.0,189.0,-15051177.738451105,-12289.938934873222,-24278723.368298195,-2384280.1140721217,0.15770397
